Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
124.09	3.0687	452.57	0.0022096	-6.4013	0.37934	3.9915	1.1422	10.011	224.57	2.8317	2.9821e-05	0.057993	0.00016964	181.91	0.0054971	43.905	60.775	4.4782	1.2969	13.250	164.38	9.4100	1.2565e-05	0.036667
124.19	3.0838	450.02	0.0022221	-5.8755	0.97713	3.9960	1.1500	10.444	221.61	2.8956	2.9562e-05	0.058013	0.00015940	184.11	0.0054315	43.486	60.236	4.4732	1.3060	13.931	164.02	9.3310	1.2646e-05	0.037349
124.29	3.0990	447.39	0.0022352	-5.3376	1.5891	4.0007	1.1584	10.924	218.59	2.9622	2.9298e-05	0.058052	0.00014929	186.39	0.0053652	43.050	59.677	4.4680	1.3156	14.688	163.64	9.2498	1.2731e-05	0.038075
124.39	3.1142	444.68	0.0022488	-4.7868	2.2164	4.0054	1.1673	11.462	215.52	3.0319	2.9028e-05	0.058115	0.00013932	188.74	0.0052982	42.597	59.097	4.4627	1.3258	15.532	163.25	9.1663	1.2820e-05	0.038851
124.49	3.1295	441.88	0.0022631	-4.2217	2.8605	4.0103	1.1769	12.066	212.37	3.1049	2.8752e-05	0.058205	0.00012950	191.19	0.0052303	42.125	58.493	4.4572	1.3366	16.481	162.82	9.0803	1.2913e-05	0.039682
124.59	3.1448	438.97	0.0022781	-3.6409	3.5231	4.0154	1.1872	12.750	209.16	3.1814	2.8468e-05	0.058325	0.00011983	193.74	0.0051615	41.633	57.864	4.4515	1.3480	17.554	162.38	8.9915	1.3011e-05	0.040578
124.70	3.1602	435.95	0.0022938	-3.0429	4.2061	4.0206	1.1983	13.531	205.87	3.2619	2.8177e-05	0.058480	0.00011031	196.40	0.0050916	41.117	57.207	4.4456	1.3601	18.777	161.90	8.8997	1.3114e-05	0.041548
124.80	3.1757	432.81	0.0023105	-2.4256	4.9118	4.0259	1.2104	14.431	202.50	3.3466	2.7878e-05	0.058677	0.00010097	199.19	0.0050204	40.576	56.519	4.4395	1.3731	20.184	161.39	8.8046	1.3222e-05	0.042604
124.90	3.1912	429.52	0.0023282	-1.7868	5.6429	4.0315	1.2236	15.480	199.04	3.4360	2.7569e-05	0.058923	9.1793e-05	202.11	0.0049479	40.006	55.796	4.4331	1.3871	21.819	160.85	8.7058	1.3337e-05	0.043762
125.00	3.2069	426.08	0.0023470	-1.1236	6.4029	4.0373	1.2380	16.717	195.48	3.5308	2.7250e-05	0.059228	8.2805e-05	205.18	0.0048737	39.404	55.034	4.4263	1.4021	23.743	160.26	8.6030	1.3460e-05	0.045040
