Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
31.300	0.98601	50.259	0.019897	153.97	173.59	6.0385	6.5861	38.083	616.89	1.4997	5.7289e-06	0.088299	0.00024770	13.824	0.072338	349.17	420.49	13.927	7.8370	48.067	377.27	9.5807	2.0721e-06	0.037910
31.400	1.0011	49.859	0.020057	156.50	176.58	6.1242	6.6117	39.860	608.42	1.5716	5.6644e-06	0.087788	0.00023343	14.154	0.070654	347.58	418.32	13.823	7.8688	50.534	377.08	9.4775	2.0952e-06	0.038392
31.500	1.0164	49.445	0.020225	159.10	179.66	6.2123	6.6391	41.857	599.76	1.6474	5.5986e-06	0.087259	0.00021921	14.498	0.068977	345.91	416.02	13.716	7.9015	53.306	376.88	9.3710	2.1197e-06	0.038896
31.600	1.0319	49.014	0.020402	161.78	182.83	6.3029	6.6684	44.120	590.88	1.7275	5.5316e-06	0.086709	0.00020505	14.857	0.067306	344.14	413.60	13.606	7.9353	56.445	376.68	9.2608	2.1456e-06	0.039425
31.700	1.0476	48.565	0.020591	164.54	186.11	6.3964	6.6999	46.705	581.77	1.8123	5.4631e-06	0.086138	0.00019094	15.235	0.065639	342.27	411.03	13.492	7.9702	60.029	376.46	9.1465	2.1732e-06	0.039982
31.800	1.0634	48.096	0.020792	167.40	189.51	6.4931	6.7338	49.688	572.42	1.9023	5.3929e-06	0.085542	0.00017690	15.632	0.063971	340.27	408.30	13.373	8.0063	64.157	376.24	9.0276	2.2027e-06	0.040570
31.900	1.0795	47.604	0.021007	170.37	193.04	6.5935	6.7707	53.169	562.79	1.9983	5.3207e-06	0.084918	0.00016293	16.051	0.062300	338.14	405.39	13.250	8.0436	68.965	376.01	8.9034	2.2343e-06	0.041192
32.000	1.0957	47.086	0.021238	173.46	196.72	6.6981	6.8108	57.285	552.87	2.1008	5.2463e-06	0.084264	0.00014903	16.496	0.060621	335.87	402.29	13.122	8.0823	74.634	375.77	8.7733	2.2684e-06	0.041855
32.100	1.1121	46.538	0.021488	176.69	200.58	6.8074	6.8547	62.229	542.62	2.2110	5.1693e-06	0.083574	0.00013521	16.969	0.058929	333.42	398.95	12.987	8.1225	81.418	375.53	8.6363	2.3053e-06	0.042565
32.200	1.1287	45.955	0.021760	180.08	204.64	6.9225	6.9031	68.278	532.01	2.3298	5.0891e-06	0.082842	0.00012147	17.477	0.057219	330.77	395.35	12.845	8.1642	89.679	375.27	8.4912	2.3455e-06	0.043328
32.300	1.1455	45.331	0.022060	183.67	208.94	7.0443	6.9569	75.846	521.00	2.4587	5.0052e-06	0.082061	0.00010783	18.024	0.055481	327.88	391.43	12.694	8.2075	99.955	375.01	8.3368	2.3896e-06	0.044155
32.400	1.1625	44.657	0.022393	187.49	213.52	7.1744	7.0173	85.584	509.52	2.5996	4.9168e-06	0.081221	9.4296e-05	18.620	0.053705	324.71	387.14	12.533	8.2526	113.08	374.74	8.1709	2.4384e-06	0.045060
32.500	1.1797	43.920	0.022769	191.61	218.47	7.3148	7.0857	98.564	497.51	2.7550	4.8228e-06	0.080307	8.0878e-05	19.276	0.051878	321.19	382.39	12.359	8.2993	130.42	374.48	7.9910	2.4929e-06	0.046061
32.600	1.1971	43.104	0.023200	196.09	223.87	7.4683	7.1645	116.69	484.87	2.9281	4.7215e-06	0.079298	6.7594e-05	20.009	0.049979	317.23	377.06	12.168	8.3478	154.35	374.21	7.7936	2.5546e-06	0.047184
32.700	1.2148	42.181	0.023707	201.08	229.88	7.6397	7.2569	143.68	471.45	3.1242	4.6105e-06	0.078162	5.4469e-05	20.843	0.047977	312.68	370.97	11.954	8.3977	189.45	373.97	7.5729	2.6258e-06	0.048469
32.800	1.2327	41.109	0.024326	206.77	236.75	7.8366	7.3684	187.81	457.05	3.3511	4.4857e-06	0.076843	4.1536e-05	21.823	0.045824	307.32	363.81	11.710	8.4483	245.75	373.77	7.3202	2.7099e-06	0.049982
32.900	1.2509	39.805	0.025123	213.55	244.98	8.0733	7.5086	271.70	441.32	3.6233	4.3400e-06	0.075237	2.8848e-05	23.026	0.043428	300.71	355.03	11.419	8.4974	350.02	373.68	7.0191	2.8136e-06	0.051844
33.000	1.2693	38.080	0.026260	222.36	255.69	8.3839	7.6980	484.57	423.52	3.9731	4.1564e-06	0.073097	1.6501e-05	24.638	0.040588	291.88	343.39	11.042	8.5378	604.70	373.93	6.6334	2.9518e-06	0.054329
