Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
146.00	0.10000	2.6569	0.37638	93.999	131.64	5.7565	0.65261	0.92045	229.49	9.5450	1.1060e-05	0.013623	0
147.00	0.10000	2.6384	0.37902	94.655	132.56	5.7628	0.65255	0.92024	230.30	9.4300	1.1130e-05	0.013715	0
148.00	0.10000	2.6202	0.38165	95.312	133.48	5.7690	0.65249	0.92003	231.10	9.3172	1.1199e-05	0.013806	0
149.00	0.10000	2.6022	0.38429	95.968	134.40	5.7752	0.65243	0.91984	231.90	9.2066	1.1268e-05	0.013897	0
150.00	0.10000	2.5845	0.38693	96.624	135.32	5.7814	0.65238	0.91964	232.70	9.0982	1.1337e-05	0.013988	0
151.00	0.10000	2.5670	0.38956	97.280	136.24	5.7875	0.65232	0.91946	233.49	8.9918	1.1406e-05	0.014079	0
152.00	0.10000	2.5497	0.39220	97.936	137.16	5.7935	0.65227	0.91927	234.28	8.8875	1.1475e-05	0.014170	0
153.00	0.10000	2.5327	0.39483	98.592	138.07	5.7996	0.65222	0.91909	235.07	8.7852	1.1544e-05	0.014260	0
154.00	0.10000	2.5160	0.39746	99.248	138.99	5.8055	0.65217	0.91892	235.85	8.6847	1.1612e-05	0.014351	0
155.00	0.10000	2.4994	0.40009	99.903	139.91	5.8115	0.65212	0.91875	236.64	8.5862	1.1681e-05	0.014441	0
156.00	0.10000	2.4831	0.40273	100.56	140.83	5.8174	0.65207	0.91859	237.41	8.4895	1.1749e-05	0.014532	0
157.00	0.10000	2.4670	0.40536	101.21	141.75	5.8233	0.65203	0.91843	238.19	8.3946	1.1817e-05	0.014622	0
158.00	0.10000	2.4510	0.40799	101.87	142.67	5.8291	0.65198	0.91827	238.97	8.3014	1.1886e-05	0.014712	0
159.00	0.10000	2.4353	0.41062	102.52	143.59	5.8349	0.65194	0.91812	239.74	8.2099	1.1954e-05	0.014802	0
160.00	0.10000	2.4199	0.41325	103.18	144.50	5.8406	0.65190	0.91797	240.51	8.1200	1.2021e-05	0.014892	0
161.00	0.10000	2.4046	0.41588	103.83	145.42	5.8464	0.65186	0.91783	241.27	8.0318	1.2089e-05	0.014982	0
162.00	0.10000	2.3895	0.41851	104.49	146.34	5.8520	0.65182	0.91769	242.03	7.9452	1.2157e-05	0.015071	0
163.00	0.10000	2.3745	0.42113	105.14	147.26	5.8577	0.65178	0.91756	242.80	7.8600	1.2225e-05	0.015161	0
164.00	0.10000	2.3598	0.42376	105.80	148.18	5.8633	0.65175	0.91742	243.55	7.7764	1.2292e-05	0.015250	0
