Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
146.00	0.10000	2.3223	0.43061	107.47	150.53	6.0940	0.74436	1.0492	245.58	8.1337	9.8560e-06	0.014201	0
147.00	0.10000	2.3062	0.43362	108.22	151.58	6.1012	0.74430	1.0490	246.44	8.0374	9.9159e-06	0.014288	0
148.00	0.10000	2.2903	0.43663	108.97	152.63	6.1083	0.74426	1.0488	247.30	7.9429	9.9755e-06	0.014376	0
149.00	0.10000	2.2746	0.43963	109.72	153.68	6.1153	0.74421	1.0486	248.15	7.8502	1.0035e-05	0.014463	0
150.00	0.10000	2.2592	0.44264	110.47	154.73	6.1224	0.74416	1.0484	249.00	7.7591	1.0095e-05	0.014550	0
151.00	0.10000	2.2440	0.44564	111.21	155.78	6.1293	0.74412	1.0483	249.85	7.6698	1.0154e-05	0.014636	0
152.00	0.10000	2.2289	0.44865	111.96	156.83	6.1362	0.74408	1.0481	250.69	7.5821	1.0213e-05	0.014723	0
153.00	0.10000	2.2141	0.45165	112.71	157.87	6.1431	0.74403	1.0479	251.53	7.4959	1.0272e-05	0.014809	0
154.00	0.10000	2.1995	0.45465	113.46	158.92	6.1499	0.74399	1.0478	252.37	7.4113	1.0331e-05	0.014895	0
155.00	0.10000	2.1851	0.45765	114.20	159.97	6.1567	0.74396	1.0476	253.20	7.3282	1.0390e-05	0.014981	0
156.00	0.10000	2.1708	0.46066	114.95	161.02	6.1635	0.74392	1.0475	254.03	7.2465	1.0449e-05	0.015067	0
157.00	0.10000	2.1568	0.46366	115.70	162.07	6.1702	0.74388	1.0473	254.86	7.1663	1.0507e-05	0.015152	0
158.00	0.10000	2.1429	0.46666	116.45	163.11	6.1768	0.74385	1.0472	255.68	7.0874	1.0566e-05	0.015237	0
159.00	0.10000	2.1292	0.46966	117.19	164.16	6.1834	0.74381	1.0470	256.51	7.0099	1.0624e-05	0.015322	0
160.00	0.10000	2.1157	0.47266	117.94	165.21	6.1900	0.74378	1.0469	257.33	6.9337	1.0683e-05	0.015407	0
161.00	0.10000	2.1024	0.47566	118.69	166.25	6.1965	0.74375	1.0468	258.14	6.8588	1.0741e-05	0.015492	0
162.00	0.10000	2.0892	0.47866	119.43	167.30	6.2030	0.74372	1.0466	258.96	6.7851	1.0799e-05	0.015576	0
163.00	0.10000	2.0762	0.48165	120.18	168.35	6.2094	0.74369	1.0465	259.77	6.7127	1.0857e-05	0.015661	0
164.00	0.10000	2.0633	0.48465	120.93	169.39	6.2158	0.74366	1.0464	260.58	6.6414	1.0914e-05	0.015745	0
165.00	0.10000	2.0507	0.48765	121.67	170.44	6.2222	0.74363	1.0463	261.38	6.5713	1.0972e-05	0.015829	0
166.00	0.10000	2.0381	0.49065	122.42	171.49	6.2285	0.74360	1.0462	262.19	6.5023	1.1030e-05	0.015912	0
167.00	0.10000	2.0258	0.49364	123.17	172.53	6.2348	0.74358	1.0460	262.99	6.4344	1.1087e-05	0.015996	0
168.00	0.10000	2.0135	0.49664	123.91	173.58	6.2410	0.74355	1.0459	263.78	6.3677	1.1145e-05	0.016079	0
169.00	0.10000	2.0015	0.49964	124.66	174.62	6.2472	0.74352	1.0458	264.58	6.3019	1.1202e-05	0.016163	0
170.00	0.10000	1.9895	0.50263	125.41	175.67	6.2534	0.74350	1.0457	265.37	6.2372	1.1259e-05	0.016246	0
171.00	0.10000	1.9777	0.50563	126.15	176.72	6.2595	0.74348	1.0456	266.16	6.1735	1.1316e-05	0.016328	0
172.00	0.10000	1.9661	0.50862	126.90	177.76	6.2656	0.74345	1.0455	266.95	6.1108	1.1373e-05	0.016411	0
173.00	0.10000	1.9546	0.51161	127.64	178.81	6.2717	0.74343	1.0454	267.74	6.0491	1.1430e-05	0.016494	0
174.00	0.10000	1.9432	0.51461	128.39	179.85	6.2777	0.74341	1.0453	268.52	5.9883	1.1486e-05	0.016576	0
175.00	0.10000	1.9320	0.51760	129.14	180.90	6.2837	0.74339	1.0452	269.30	5.9284	1.1543e-05	0.016658	0
176.00	0.10000	1.9209	0.52059	129.88	181.94	6.2897	0.74337	1.0451	270.08	5.8694	1.1599e-05	0.016740	0
177.00	0.10000	1.9099	0.52359	130.63	182.99	6.2956	0.74335	1.0450	270.86	5.8112	1.1656e-05	0.016822	0
178.00	0.10000	1.8991	0.52658	131.37	184.03	6.3015	0.74333	1.0450	271.63	5.7540	1.1712e-05	0.016903	0
179.00	0.10000	1.8883	0.52957	132.12	185.08	6.3073	0.74331	1.0449	272.40	5.6975	1.1768e-05	0.016985	0
180.00	0.10000	1.8777	0.53256	132.87	186.12	6.3131	0.74329	1.0448	273.17	5.6419	1.1824e-05	0.017066	0
181.00	0.10000	1.8672	0.53555	133.61	187.17	6.3189	0.74328	1.0447	273.94	5.5871	1.1880e-05	0.017147	0
182.00	0.10000	1.8569	0.53854	134.36	188.21	6.3247	0.74326	1.0446	274.70	5.5331	1.1936e-05	0.017228	0
183.00	0.10000	1.8466	0.54153	135.10	189.26	6.3304	0.74324	1.0446	275.46	5.4799	1.1992e-05	0.017309	0
184.00	0.10000	1.8365	0.54453	135.85	190.30	6.3361	0.74323	1.0445	276.23	5.4274	1.2047e-05	0.017390	0
185.00	0.10000	1.8264	0.54752	136.59	191.34	6.3418	0.74321	1.0444	276.98	5.3757	1.2103e-05	0.017470	0
186.00	0.10000	1.8165	0.55050	137.34	192.39	6.3474	0.74319	1.0443	277.74	5.3246	1.2158e-05	0.017551	0
187.00	0.10000	1.8067	0.55349	138.08	193.43	6.3530	0.74318	1.0443	278.49	5.2743	1.2214e-05	0.017631	0
188.00	0.10000	1.7970	0.55648	138.83	194.48	6.3586	0.74317	1.0442	279.24	5.2247	1.2269e-05	0.017711	0
189.00	0.10000	1.7874	0.55947	139.57	195.52	6.3641	0.74315	1.0441	279.99	5.1757	1.2324e-05	0.017791	0
190.00	0.10000	1.7779	0.56246	140.32	196.57	6.3696	0.74314	1.0440	280.74	5.1275	1.2379e-05	0.017870	0
191.00	0.10000	1.7685	0.56545	141.06	197.61	6.3751	0.74312	1.0440	281.49	5.0798	1.2434e-05	0.017950	0
192.00	0.10000	1.7592	0.56844	141.81	198.65	6.3805	0.74311	1.0439	282.23	5.0329	1.2489e-05	0.018029	0
193.00	0.10000	1.7500	0.57143	142.56	199.70	6.3860	0.74310	1.0439	282.97	4.9865	1.2543e-05	0.018109	0
194.00	0.10000	1.7409	0.57441	143.30	200.74	6.3914	0.74309	1.0438	283.71	4.9408	1.2598e-05	0.018188	0
195.00	0.10000	1.7319	0.57740	144.05	201.79	6.3967	0.74308	1.0437	284.45	4.8956	1.2652e-05	0.018267	0
196.00	0.10000	1.7230	0.58039	144.79	202.83	6.4021	0.74306	1.0437	285.18	4.8511	1.2707e-05	0.018345	0
197.00	0.10000	1.7142	0.58337	145.54	203.87	6.4074	0.74305	1.0436	285.92	4.8071	1.2761e-05	0.018424	0
198.00	0.10000	1.7054	0.58636	146.28	204.92	6.4127	0.74304	1.0436	286.65	4.7637	1.2815e-05	0.018503	0
199.00	0.10000	1.6968	0.58935	147.02	205.96	6.4179	0.74303	1.0435	287.38	4.7208	1.2870e-05	0.018581	0
200.00	0.10000	1.6882	0.59233	147.77	207.00	6.4232	0.74302	1.0434	288.11	4.6785	1.2924e-05	0.018659	0
201.00	0.10000	1.6798	0.59532	148.51	208.05	6.4284	0.74301	1.0434	288.83	4.6368	1.2977e-05	0.018737	0
202.00	0.10000	1.6714	0.59831	149.26	209.09	6.4335	0.74300	1.0433	289.55	4.5955	1.3031e-05	0.018815	0
203.00	0.10000	1.6631	0.60129	150.00	210.13	6.4387	0.74299	1.0433	290.28	4.5548	1.3085e-05	0.018893	0
204.00	0.10000	1.6549	0.60428	150.75	211.18	6.4438	0.74298	1.0432	291.00	4.5146	1.3139e-05	0.018971	0
205.00	0.10000	1.6467	0.60726	151.49	212.22	6.4489	0.74297	1.0432	291.71	4.4749	1.3192e-05	0.019048	0
206.00	0.10000	1.6387	0.61025	152.24	213.26	6.4540	0.74297	1.0431	292.43	4.4357	1.3246e-05	0.019125	0
207.00	0.10000	1.6307	0.61323	152.98	214.31	6.4590	0.74296	1.0431	293.15	4.3969	1.3299e-05	0.019203	0
208.00	0.10000	1.6228	0.61622	153.73	215.35	6.4641	0.74295	1.0430	293.86	4.3587	1.3352e-05	0.019280	0
209.00	0.10000	1.6150	0.61920	154.47	216.39	6.4691	0.74294	1.0430	294.57	4.3209	1.3405e-05	0.019357	0
210.00	0.10000	1.6072	0.62218	155.22	217.44	6.4741	0.74293	1.0429	295.28	4.2835	1.3458e-05	0.019433	0
211.00	0.10000	1.5996	0.62517	155.96	218.48	6.4790	0.74293	1.0429	295.99	4.2466	1.3511e-05	0.019510	0
212.00	0.10000	1.5920	0.62815	156.71	219.52	6.4839	0.74292	1.0429	296.69	4.2101	1.3564e-05	0.019586	0
213.00	0.10000	1.5844	0.63114	157.45	220.56	6.4888	0.74291	1.0428	297.40	4.1741	1.3617e-05	0.019663	0
214.00	0.10000	1.5770	0.63412	158.19	221.61	6.4937	0.74291	1.0428	298.10	4.1385	1.3670e-05	0.019739	0
215.00	0.10000	1.5696	0.63710	158.94	222.65	6.4986	0.74290	1.0427	298.80	4.1033	1.3722e-05	0.019815	0
216.00	0.10000	1.5623	0.64008	159.68	223.69	6.5034	0.74289	1.0427	299.50	4.0685	1.3775e-05	0.019891	0
217.00	0.10000	1.5550	0.64307	160.43	224.73	6.5082	0.74289	1.0427	300.19	4.0341	1.3827e-05	0.019967	0
218.00	0.10000	1.5479	0.64605	161.17	225.78	6.5130	0.74288	1.0426	300.89	4.0001	1.3880e-05	0.020043	0
219.00	0.10000	1.5408	0.64903	161.92	226.82	6.5178	0.74288	1.0426	301.58	3.9665	1.3932e-05	0.020118	0
220.00	0.10000	1.5337	0.65202	162.66	227.86	6.5226	0.74287	1.0425	302.28	3.9333	1.3984e-05	0.020194	0
221.00	0.10000	1.5267	0.65500	163.41	228.91	6.5273	0.74286	1.0425	302.97	3.9004	1.4036e-05	0.020269	0
222.00	0.10000	1.5198	0.65798	164.15	229.95	6.5320	0.74286	1.0425	303.66	3.8680	1.4088e-05	0.020344	0
223.00	0.10000	1.5129	0.66096	164.89	230.99	6.5367	0.74286	1.0424	304.34	3.8358	1.4140e-05	0.020419	0
224.00	0.10000	1.5062	0.66394	165.64	232.03	6.5413	0.74285	1.0424	305.03	3.8041	1.4192e-05	0.020494	0
225.00	0.10000	1.4994	0.66693	166.38	233.07	6.5460	0.74285	1.0424	305.71	3.7727	1.4243e-05	0.020569	0
226.00	0.10000	1.4927	0.66991	167.13	234.12	6.5506	0.74284	1.0423	306.39	3.7416	1.4295e-05	0.020644	0
227.00	0.10000	1.4861	0.67289	167.87	235.16	6.5552	0.74284	1.0423	307.08	3.7109	1.4347e-05	0.020718	0
228.00	0.10000	1.4796	0.67587	168.61	236.20	6.5598	0.74283	1.0423	307.76	3.6805	1.4398e-05	0.020792	0
229.00	0.10000	1.4731	0.67885	169.36	237.24	6.5644	0.74283	1.0422	308.43	3.6505	1.4449e-05	0.020867	0
230.00	0.10000	1.4666	0.68183	170.10	238.29	6.5689	0.74283	1.0422	309.11	3.6207	1.4501e-05	0.020941	0
231.00	0.10000	1.4603	0.68481	170.85	239.33	6.5734	0.74282	1.0422	309.78	3.5913	1.4552e-05	0.021015	0
232.00	0.10000	1.4539	0.68779	171.59	240.37	6.5779	0.74282	1.0421	310.46	3.5622	1.4603e-05	0.021089	0
233.00	0.10000	1.4477	0.69077	172.34	241.41	6.5824	0.74282	1.0421	311.13	3.5334	1.4654e-05	0.021163	0
234.00	0.10000	1.4414	0.69375	173.08	242.45	6.5869	0.74282	1.0421	311.80	3.5050	1.4705e-05	0.021236	0
235.00	0.10000	1.4353	0.69673	173.82	243.50	6.5913	0.74281	1.0421	312.47	3.4768	1.4756e-05	0.021310	0
236.00	0.10000	1.4292	0.69971	174.57	244.54	6.5957	0.74281	1.0420	313.14	3.4489	1.4807e-05	0.021383	0
237.00	0.10000	1.4231	0.70269	175.31	245.58	6.6001	0.74281	1.0420	313.80	3.4213	1.4857e-05	0.021457	0
238.00	0.10000	1.4171	0.70567	176.06	246.62	6.6045	0.74281	1.0420	314.47	3.3940	1.4908e-05	0.021530	0
239.00	0.10000	1.4111	0.70865	176.80	247.66	6.6089	0.74281	1.0420	315.13	3.3669	1.4958e-05	0.021603	0
240.00	0.10000	1.4052	0.71163	177.54	248.71	6.6132	0.74280	1.0419	315.79	3.3402	1.5009e-05	0.021676	0
241.00	0.10000	1.3994	0.71461	178.29	249.75	6.6176	0.74280	1.0419	316.45	3.3137	1.5059e-05	0.021749	0
242.00	0.10000	1.3935	0.71759	179.03	250.79	6.6219	0.74280	1.0419	317.11	3.2875	1.5109e-05	0.021821	0
243.00	0.10000	1.3878	0.72057	179.78	251.83	6.6262	0.74280	1.0419	317.77	3.2615	1.5160e-05	0.021894	0
244.00	0.10000	1.3821	0.72355	180.52	252.87	6.6305	0.74280	1.0418	318.42	3.2358	1.5210e-05	0.021966	0
245.00	0.10000	1.3764	0.72653	181.26	253.92	6.6347	0.74280	1.0418	319.08	3.2104	1.5260e-05	0.022039	0
246.00	0.10000	1.3708	0.72951	182.01	254.96	6.6390	0.74280	1.0418	319.73	3.1852	1.5310e-05	0.022111	0
247.00	0.10000	1.3652	0.73249	182.75	256.00	6.6432	0.74280	1.0418	320.38	3.1603	1.5360e-05	0.022183	0
248.00	0.10000	1.3597	0.73547	183.49	257.04	6.6474	0.74280	1.0418	321.03	3.1356	1.5409e-05	0.022255	0
249.00	0.10000	1.3542	0.73845	184.24	258.08	6.6516	0.74280	1.0417	321.68	3.1112	1.5459e-05	0.022327	0
250.00	0.10000	1.3488	0.74143	184.98	259.13	6.6558	0.74280	1.0417	322.33	3.0870	1.5509e-05	0.022399	0
251.00	0.10000	1.3434	0.74440	185.73	260.17	6.6599	0.74280	1.0417	322.98	3.0630	1.5558e-05	0.022471	0
252.00	0.10000	1.3380	0.74738	186.47	261.21	6.6641	0.74280	1.0417	323.62	3.0393	1.5608e-05	0.022542	0
253.00	0.10000	1.3327	0.75036	187.21	262.25	6.6682	0.74281	1.0417	324.27	3.0158	1.5657e-05	0.022614	0
254.00	0.10000	1.3274	0.75334	187.96	263.29	6.6723	0.74281	1.0416	324.91	2.9925	1.5707e-05	0.022685	0
255.00	0.10000	1.3222	0.75632	188.70	264.33	6.6764	0.74281	1.0416	325.55	2.9694	1.5756e-05	0.022756	0
256.00	0.10000	1.3170	0.75929	189.45	265.38	6.6805	0.74281	1.0416	326.19	2.9466	1.5805e-05	0.022827	0
257.00	0.10000	1.3119	0.76227	190.19	266.42	6.6845	0.74281	1.0416	326.83	2.9240	1.5854e-05	0.022898	0
258.00	0.10000	1.3068	0.76525	190.93	267.46	6.6886	0.74281	1.0416	327.46	2.9015	1.5903e-05	0.022969	0
259.00	0.10000	1.3017	0.76823	191.68	268.50	6.6926	0.74282	1.0416	328.10	2.8793	1.5952e-05	0.023040	0
260.00	0.10000	1.2967	0.77121	192.42	269.54	6.6966	0.74282	1.0415	328.74	2.8573	1.6001e-05	0.023111	0
261.00	0.10000	1.2917	0.77418	193.16	270.58	6.7006	0.74282	1.0415	329.37	2.8356	1.6050e-05	0.023181	0
262.00	0.10000	1.2867	0.77716	193.91	271.62	6.7046	0.74283	1.0415	330.00	2.8140	1.6098e-05	0.023252	0
263.00	0.10000	1.2818	0.78014	194.65	272.67	6.7086	0.74283	1.0415	330.63	2.7926	1.6147e-05	0.023322	0
264.00	0.10000	1.2770	0.78312	195.40	273.71	6.7125	0.74283	1.0415	331.26	2.7714	1.6196e-05	0.023393	0
265.00	0.10000	1.2721	0.78609	196.14	274.75	6.7165	0.74284	1.0415	331.89	2.7504	1.6244e-05	0.023463	0
266.00	0.10000	1.2673	0.78907	196.88	275.79	6.7204	0.74284	1.0415	332.52	2.7296	1.6293e-05	0.023533	0
