Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
145.00	0.10000	3.3392	0.29948	44.818	74.766	3.4981	0.31410	0.52840	223.59	12.800	1.1829e-05	0.0092395	0
146.00	0.10000	3.3158	0.30159	45.135	75.294	3.5017	0.31405	0.52824	224.37	12.649	1.1907e-05	0.0093008	0
147.00	0.10000	3.2927	0.30370	45.452	75.822	3.5053	0.31400	0.52808	225.16	12.502	1.1985e-05	0.0093620	0
148.00	0.10000	3.2700	0.30581	45.769	76.350	3.5089	0.31396	0.52793	225.94	12.357	1.2063e-05	0.0094231	0
149.00	0.10000	3.2476	0.30792	46.086	76.878	3.5124	0.31392	0.52778	226.72	12.215	1.2140e-05	0.0094840	0
150.00	0.10000	3.2255	0.31003	46.403	77.406	3.5160	0.31388	0.52764	227.49	12.076	1.2218e-05	0.0095449	0
151.00	0.10000	3.2037	0.31214	46.720	77.934	3.5195	0.31384	0.52750	228.27	11.939	1.2295e-05	0.0096056	0
152.00	0.10000	3.1822	0.31425	47.036	78.461	3.5230	0.31380	0.52737	229.04	11.805	1.2373e-05	0.0096663	0
153.00	0.10000	3.1610	0.31635	47.353	78.988	3.5264	0.31376	0.52724	229.80	11.674	1.2450e-05	0.0097268	0
154.00	0.10000	3.1401	0.31846	47.669	79.515	3.5298	0.31372	0.52711	230.57	11.544	1.2527e-05	0.0097873	0
155.00	0.10000	3.1194	0.32057	47.985	80.042	3.5333	0.31369	0.52698	231.33	11.418	1.2604e-05	0.0098476	0
156.00	0.10000	3.0991	0.32268	48.302	80.569	3.5366	0.31365	0.52686	232.09	11.293	1.2681e-05	0.0099079	0
157.00	0.10000	3.0790	0.32478	48.618	81.096	3.5400	0.31362	0.52674	232.84	11.171	1.2757e-05	0.0099680	0
158.00	0.10000	3.0591	0.32689	48.934	81.623	3.5434	0.31359	0.52663	233.60	11.051	1.2834e-05	0.010028	0
159.00	0.10000	3.0396	0.32899	49.250	82.149	3.5467	0.31356	0.52652	234.35	10.933	1.2911e-05	0.010088	0
